property_type,department,lat,lon,area_m2,price_cop
house,Bogotá D.C,4.699,-74.077,64.0,260000000.0
house,Cundinamarca,4.837,-74.07,210.0,650000000.0
house,Bogotá D.C,4.589,-74.124,240.0,380000000.0
house,Cundinamarca,4.849,-74.059,240.0,840000000.0
house,Valle del Cauca,3.45,-76.554,110.0,295000000.0
house,Valle del Cauca,3.367,-76.533,76.0,303000000.0
house,Bogotá D.C,4.694,-74.046,114.0,560000000.0
house,Cundinamarca,,,291.0,430000000.0
house,Bogotá D.C,4.712,-74.077,183.0,630000000.0
house,Bogotá D.C,4.738,-74.061,113.0,410000000.0
house,Bogotá D.C,4.724,-74.037,85.0,309000000.0
house,Atlántico,11.003,-74.833,114.0,300000000.0
house,Bogotá D.C,4.676,-74.052,157.0,1490000000.0
house,Bogotá D.C,4.730415,-74.026247,150.0,300000000.0
house,Bogotá D.C,4.743,-74.088,157.0,349900000.0
house,Bogotá D.C,4.656,-74.101,66.0,390000000.0
house,Atlántico,10.991,-74.804,128.0,380000000.0
house,Atlántico,10.999,-74.817,218.0,900000000.0
house,Bogotá D.C,4.746,-74.091,100.0,259000000.0
house,Bogotá D.C,4.686,-74.048,193.0,1254000000.0
house,Cundinamarca,4.879,-74.063,90.0,310000000.0
house,Atlántico,11.007,-74.807,255.0,1420000000.0
house,Bogotá D.C,4.645,-74.056,91.0,618871799.0
house,Bogotá D.C,4.689,-74.038,156.0,1015000000.0
house,Atlántico,11.007,-74.808,215.0,1150000000.0
house,Bogotá D.C,4.727,-74.06,132.0,545000000.0
house,Caldas,5.073,-75.525,200.0,480000000.0
house,Antioquia,,,156.0,500000000.0
house,Bogotá D.C,4.611,-74.144,250.0,299900000.0
house,Atlántico,11.006,-74.828,117.0,341620000.0
house,Bogotá D.C,4.705,-74.059,84.0,260000000.0
apartment,Bogotá D.C,4.712536,-74.048516,143.0,650000000.0
house,Caldas,5.07,-75.514,127.0,250000000.0
house,Bogotá D.C,4.648,-74.084,210.0,1200000000.0
house,Atlántico,11.03,-74.857,230.0,640000000.0
house,Valle del Cauca,3.452,-76.532,374.0,400000000.0
house,Boyacá,5.636,-73.527,151.0,510000000.0
house,Bogotá D.C,4.697,-74.048,69.0,360000000.0
house,Valle del Cauca,3.421,-76.522,122.0,315283000.0
house,Atlántico,11.015,-74.82,155.0,604500000.0
house,Bogotá D.C,4.642,-74.071,280.0,900000000.0
house,Atlántico,11.008,-74.826,369.0,780000000.0
house,Bogotá D.C,4.696,-74.048,140.0,840000000.0
house,Cundinamarca,4.92,-74.027,378.0,1399800000.0
house,Quindío,4.461,-75.667,200.0,380000000.0
house,Bogotá D.C,4.746,-74.115,236.0,380000000.0
house,Antioquia,6.152502001,-75.5605316162,300.0,880000000.0
house,Bogotá D.C,4.702,-74.035,185.0,950000000.0
house,Atlántico,10.999,-74.828,315.0,700000000.0
house,Atlántico,10.982,-74.818,152.0,240000000.0
house,Bogotá D.C,4.614,-74.126,285.0,600000000.0
house,Atlántico,11.001,-74.8,113.0,250000000.0
house,Valle del Cauca,3.385038,-76.532952,230.0,420000000.0
house,Bogotá D.C,4.677,-74.043,110.0,670000000.0
house,Cundinamarca,4.918,-74.025,161.0,700000000.0
house,Bolívar,10.379,-75.484,144.0,220000000.0
house,Bogotá D.C,4.733,-74.024,121.0,980000000.0
house,Cundinamarca,4.817,-74.1,377.0,1550000000.0
house,Bogotá D.C,4.651,-74.055,89.0,771000000.0
house,Bogotá D.C,4.643,-74.062,100.0,1080000000.0
house,Bogotá D.C,4.688,-74.07,190.0,690000000.0
house,Bogotá D.C,4.642,-74.067,266.0,900000000.0
house,Bogotá D.C,4.632,-74.086,145.0,460000000.0
house,Bolívar,10.391,-75.479,74.0,578371000.0
house,Atlántico,11.014,-74.804,300.0,480000000.0
house,Bogotá D.C,4.722,-74.062,200.0,560000000.0
house,Bogotá D.C,4.603,-74.099,105.0,265000000.0
house,Bogotá D.C,4.707,-74.029,115.0,400000000.0
house,Atlántico,10.995,-74.813,138.0,250000000.0
house,Bogotá D.C,4.705,-74.061,420.0,1500000000.0
house,Meta,4.151,-73.638,109.0,220000000.0
house,Cundinamarca,4.684,-73.98,263.0,1300000000.0
house,Bogotá D.C,4.698,-74.07,232.0,790000000.0
house,Bogotá D.C,4.721,-74.033,74.0,370000000.0
house,Bogotá D.C,4.7,-74.039,124.0,850000000.0
house,Bogotá D.C,4.738,-74.046,176.0,450000000.0
house,Valle del Cauca,,,400.0,1300000000.0
house,Bogotá D.C,4.706,-74.056,84.0,320000000.0
house,Bogotá D.C,4.728,-74.03,97.0,360000000.0
house,Valle del Cauca,3.421,-76.522,376.0,580000000.0
house,Bogotá D.C,4.74,-74.065,174.0,570000000.0
house,Bogotá D.C,4.663,-74.06,300.0,1400000000.0
house,Bogotá D.C,4.692,-74.041,72.0,440000000.0
apartment,Santander,7.1150958,-73.1142334,64.0,250000000.0
house,Valle del Cauca,3.481,-76.523,380.0,1000000000.0
house,Bolívar,10.414,-75.534,129.0,480000000.0
house,Bogotá D.C,4.696,-74.036,150.0,650000000.0
house,Bogotá D.C,4.704,-74.124,322.0,750000000.0
house,Atlántico,11.004,-74.807,124.0,500000000.0
house,Bogotá D.C,4.714,-74.077,350.0,1600000000.0
house,Cundinamarca,4.721,-73.969,400.0,1400000000.0
house,Bogotá D.C,4.565,-74.1,102.0,721215000.0
house,Atlántico,11.001,-74.826,444.0,1400000000.0
house,Bogotá D.C,4.701,-74.031,280.0,1100000000.0
house,Atlántico,11.002,-74.811,360.0,770000000.0
house,Atlántico,11.006,-74.83,66.0,245000000.0
house,Valle del Cauca,3.413,-76.529,254.0,400000000.0
house,Bogotá D.C,4.732,-74.037,98.0,430000000.0
house,Bogotá D.C,4.723,-74.04,86.0,325000000.0
house,Valle del Cauca,3.447,-76.485,120.0,200000000.0
house,Boyacá,5.671,-73.537,200.0,700000000.0
house,Antioquia,,,108.0,325000000.0
house,Magdalena,11.24,-74.178,126.0,332498800.0
house,Bogotá D.C,4.711,-74.072,97.0,320000000.0
house,Bogotá D.C,4.728,-74.032,90.0,325000000.0
house,Bogotá D.C,4.687,-74.05,114.0,850000000.0
house,Bogotá D.C,4.706,-74.06,109.0,430000000.0
house,Bogotá D.C,4.693,-74.053,143.0,750000000.0
house,Bogotá D.C,4.74,-74.034,64.0,210000000.0
house,Bogotá D.C,4.7,-74.077,169.0,550000000.0
house,Bogotá D.C,4.74,-74.066,145.0,480000000.0
house,Valle del Cauca,3.469,-76.524,370.0,285000000.0
house,Atlántico,11.007,-74.805,260.0,490000000.0
house,Bogotá D.C,4.679,-74.144,155.0,439900000.0
