property_type,place_with_parent_names,lat-lon,area_m2,price_usd
house,|Colombia|Bogotá D.C|Suba|,"4.712,-74.075",241.0,320770.38
house,|Colombia|Atlántico|Barranquilla|,"10.99,-74.827",430.0,270122.43
house,|Colombia|Valle del Cauca|Cali|,"3.431,-76.552",125.0,145190.8
house,|Colombia|Bogotá D.C|Kennedy|,"4.623,-74.14",77.0,100620.6
house,|Colombia|Bogotá D.C|Suba|,"4.707,-74.076",298.0,300511.2
house,|Colombia|Bogotá D.C|Usaquén|,"4.725,-74.04",110.0,118178.56
house,|Colombia|Bogotá D.C|Usaquén|,"4.727,-74.024",210.0,455831.6
house,|Colombia|Bogotá D.C|Usaquén|,"4.663,-74.058",76.0,135061.21
house,|Colombia|Bogotá D.C|Usaquén|,"4.699,-74.049",66.0,151943.86
house,|Colombia|Bogotá D.C|Suba|,"4.745,-74.058",77.0,104672.44
house,|Colombia|Bogotá D.C|Usaquén|,"4.823,-74.031",118.0,320770.38
house,|Colombia|Bogotá D.C|Suba|,"4.752,-74.092",76.0,72595.4
house,|Colombia|Cundinamarca|Chía|,,300.0,476090.78
house,|Colombia|Valle del Cauca|Cali|,"3.339,-76.537",199.0,236357.12
house,|Colombia|Caldas|Manizales|,"5.067,-75.518",110.0,89478.05
house,|Colombia|Atlántico|Puerto Colombia|,"10.989,-74.959",276.0,162073.45
house,|Colombia|Valle del Cauca|Cali|,"3.452,-76.532",177.0,141814.27
house,|Colombia|Caldas|Manizales|,"5.072,-75.517",90.0,70907.13
apartment,|Colombia|Magdalena|Santa Marta|,,168.0,438948.95
house,|Colombia|Atlántico|Barranquilla|,"10.978,-74.781",334.0,219474.47
house,|Colombia|Atlántico|Barranquilla|,"11.008,-74.81",366.0,500803.95
house,|Colombia|Valle del Cauca|Cali|,"3.401,-76.528",200.0,97919.38
house,|Colombia|Cundinamarca|Cajicá|,"4.912,-74.017",280.0,499726.5
house,|Colombia|Bogotá D.C|Usaquén|,"4.68,-74.053",259.0,438948.95
house,|Colombia|Atlántico|Barranquilla|,"10.987,-74.781",280.0,141814.27
house,|Colombia|Atlántico|Barranquilla|,"11.0,-74.827",148.0,131684.68
house,|Colombia|Bogotá D.C|Engativa|,"4.706,-74.136",438.0,530115.27
house,|Colombia|Cundinamarca|Chía|,"4.866,-74.064",66.0,93609.73
house,|Colombia|Bogotá D.C|Usaquén|,"4.696,-74.042",97.0,168826.52
house,|Colombia|Bogotá D.C|Usaquén|,"4.706,-74.041",186.0,354535.69
house,|Colombia|Atlántico|Barranquilla|,"11.004,-74.807",220.0,158696.92
house,|Colombia|Bogotá D.C|Suba|,"4.745,-74.066",139.0,185709.17
house,|Colombia|Atlántico|Barranquilla|,"11.004,-74.807",115.0,112607.28
house,|Colombia|Bogotá D.C|Usaquén|,"4.686,-74.055",110.0,276875.49
house,|Colombia|Cundinamarca|Subachoque|,"4.93,-74.172",425.0,489596.9
house,|Colombia|Bogotá D.C|Suba|,"4.753,-74.058",350.0,523362.21
house,|Colombia|Bogotá D.C|Kennedy|,"4.615,-74.152",360.0,135061.21
house,|Colombia|Valle del Cauca|Cali|,"3.453,-76.551",174.0,226227.53
house,|Colombia|Cundinamarca|Cota|,"4.815,-74.101",141.0,124931.62
house,|Colombia|Bogotá D.C|Usaquén|,"4.735,-74.034",182.0,178956.11
house,|Colombia|Cundinamarca|Fusagasugá|,"4.345,-74.362",200.0,202591.82
house,|Colombia|Atlántico|Puerto Colombia|,"10.995,-74.945",156.0,81036.72
house,|Colombia|Bogotá D.C|Chapinero|,"4.65,-74.048",198.0,557127.51
house,|Colombia|Bogotá D.C|Usaquén|,"4.709,-74.032",72.0,126619.89
house,|Colombia|Bogotá D.C|Usaquén|,"4.703,-74.046",323.0,506479.56
apartment,|Colombia|Santander|Floridablanca|,"7.0723921,-73.1069693",130.0,151943.86
house,|Colombia|Valle del Cauca|Cali|,"3.47,-76.518",246.0,111425.5
house,|Colombia|Atlántico|Barranquilla|,"10.991,-74.827",130.0,100958.25
house,|Colombia|Bogotá D.C|Usaquén|,"4.728,-74.048",74.0,84413.26
house,|Colombia|Atlántico|Barranquilla|Ríomar|,"11.004,-74.807",100.0,91166.32
apartment,|Colombia|Santander|Bucaramanga|,"7.1213415,-73.1076173",251.0,337653.04
house,|Colombia|Cundinamarca|Fusagasugá|,"4.326,-74.364",137.0,87789.79
house,|Colombia|Bogotá D.C|Teusaquillo|,"4.629,-74.107",213.0,499726.5
house,|Colombia|Atlántico|Barranquilla|,"11.004,-74.807",182.0,185709.17
house,|Colombia|Atlántico|Barranquilla|Ríomar|,"11.017,-74.819",234.0,140126.01
house,|Colombia|Bogotá D.C|Suba|,"4.698,-74.06",420.0,523362.21
house,|Colombia|Magdalena|Santa Marta|,"11.197,-74.229",83.0,70907.13
house,|Colombia|Bogotá D.C|Usaquén|,"4.724,-74.023",386.0,567257.1
house,|Colombia|Bogotá D.C|Usaquén|,"4.702,-74.053",76.0,180744.15
apartment,|Colombia|Bogotá D.C|,"4.563701,-74.1388669",87.0,102857.73
house,|Colombia|Cundinamarca|Sopó|,"4.909,-73.941",280.0,567257.1
house,|Colombia|Valle del Cauca|Cali|,"3.466,-76.526",142.0,122399.22
house,|Colombia|Bogotá D.C|Usaquén|,"4.725,-74.04",76.0,106360.7
house,|Colombia|Bogotá D.C|Usaquén|,"4.689,-74.038",263.0,506479.56
house,|Colombia|Cundinamarca|Tabio|,"4.924,-74.059",300.0,310640.79
house,|Colombia|Valle del Cauca|Cali|,"3.409,-76.564",100.0,64154.07
house,|Colombia|Bogotá D.C|Chapinero|,"4.677,-74.043",145.0,481155.58
house,|Colombia|Atlántico|Barranquilla|,"10.969,-74.8",139.0,74283.66
house,|Colombia|Atlántico|Barranquilla|,"10.991,-74.816",102.0,110074.89
house,|Colombia|Bogotá D.C|Usaquén|,"4.729,-74.044",170.0,183683.25
house,|Colombia|Bogotá D.C|Suba|,"4.71,-74.077",87.0,175008.94
apartment,|Colombia|Cundinamarca|,"6.1657051441,-75.5961609002",300.0,144000.82
house,|Colombia|Bogotá D.C|Barrios Unidos|,"4.662,-74.08",432.0,489259.25
house,|Colombia|Bogotá D.C|Usaquén|,"4.707,-74.046",181.0,287005.08
house,|Colombia|Atlántico|Puerto Colombia|,"11.024,-74.885",110.0,101295.91
house,|Colombia|Valle del Cauca|Cali|,"3.37,-76.519",160.0,79348.46
house,|Colombia|Antioquia|,"6.057394,-75.502792",161.0,216097.94
house,|Colombia|Bogotá D.C|Chapinero|,"4.675,-74.055",116.0,346094.36
house,|Colombia|Valle del Cauca|Cali|,"3.386,-76.526",180.0,84413.26
house,|Colombia|Bogotá D.C|Los Mártires|,"4.601,-74.083",204.0,276875.49
house,|Colombia|Atlántico|Barranquilla|,"11.004,-74.807",286.0,241421.92
house,|Colombia|Bogotá D.C|Barrios Unidos|,"4.677,-74.054",110.0,320770.38
house,|Colombia|Santander|,,420.0,143502.54
