property_type,department,lat,lon,area_m2,price_usd
house,Bogotá D.C,4.745,-74.067,110.0,"$162,073.45"
house,Cundinamarca,4.865,-74.051,112.0,"$140,126.01"
house,Bogotá D.C,4.647,-74.107,268.0,"$567,257.10"
house,Bogotá D.C,4.725,-74.041,125.0,"$168,826.52"
house,Bogotá D.C,4.752,-74.04,107.0,"$140,126.01"
house,Bogotá D.C,4.603,-74.168,180.0,"$111,425.50"
house,Cundinamarca,4.917,-74.033,117.0,"$147,216.72"
house,Bogotá D.C,4.711,-74.026,210.0,"$405,183.64"
house,Bogotá D.C,4.698,-74.029,144.0,"$302,199.47"
house,Bogotá D.C,4.618,-74.081,240.0,"$168,826.52"
house,Bogotá D.C,4.614,-74.065,69.0,"$111,425.50"
house,Bogotá D.C,4.709,-74.05,180.0,"$253,239.78"
house,Valle del Cauca,3.381,-76.533,128.0,"$84,413.26"
house,Bogotá D.C,4.715,-74.029,90.0,"$192,462.23"
house,Bogotá D.C,4.684,-74.054,84.0,"$190,773.96"
house,Atlántico,11.004,-74.807,124.0,"$108,048.97"
house,Atlántico,11.024,-74.861,260.0,"$303,887.73"
house,Valle del Cauca,3.484,-76.529,389.0,"$128,308.15"
house,Atlántico,11.004,-74.806,310.0,"$266,745.90"
house,Atlántico,10.999,-74.825,382.0,"$303,887.73"
house,Bogotá D.C,4.719,-74.034,99.0,"$144,853.15"
house,Cundinamarca,4.856,-74.066,235.0,"$243,110.18"
house,Valle del Cauca,3.414,-76.532,260.0,"$135,061.21"
house,Bogotá D.C,4.719,-74.049,144.0,"$145,190.80"
house,Cundinamarca,4.857,-74.054,92.0,"$101,295.91"
house,Atlántico,11.012,-74.808,341.0,"$398,430.58"
house,Bogotá D.C,4.656,-74.13,89.0,"$151,943.86"
house,Atlántico,11.016,-74.818,152.0,"$131,684.68"
house,Magdalena,,,168.0,"$153,632.13"
house,Boyacá,5.716,-72.931,210.0,"$133,372.95"
house,Atlántico,11.004,-74.807,87.0,"$91,166.32"
house,Valle del Cauca,3.441,-76.533,324.0,"$84,413.26"
house,Cundinamarca,4.88,-74.07,295.0,"$422,066.30"
house,Bogotá D.C,4.755,-74.068,100.0,"$167,138.25"
house,Bogotá D.C,4.68,-74.043,150.0,"$388,300.99"
house,Bogotá D.C,4.678,-74.04,150.0,"$405,183.64"
house,Atlántico,10.992,-74.815,210.0,"$209,344.88"
house,Atlántico,11.006,-74.815,281.0,"$195,838.76"
house,Bogotá D.C,4.661,-74.056,93.0,"$201,916.51"
house,Cundinamarca,4.865,-74.051,162.0,"$293,758.14"
house,Bogotá D.C,4.683,-74.044,136.0,"$195,838.76"
house,Bogotá D.C,4.691,-74.049,156.0,"$388,300.99"
house,Antioquia,6.1105148786,-75.4523849487,270.0,"$320,770.38"
house,Atlántico,10.994,-74.795,238.0,"$232,980.59"
house,Bogotá D.C,4.733,-74.033,89.0,"$136,749.48"
house,Bogotá D.C,4.702,-74.06,248.0,"$236,357.12"
house,Bogotá D.C,4.681,-74.15,86.0,"$161,735.80"
house,Bogotá D.C,4.694,-74.038,112.0,"$185,033.86"
house,Bogotá D.C,4.694,-74.047,175.0,"$266,745.90"
house,Atlántico,11.023,-74.807,140.0,"$91,166.32"
house,Bogotá D.C,4.694,-74.047,195.0,"$330,899.98"
house,Valle del Cauca,3.463,-76.527,320.0,"$94,542.85"
house,Atlántico,10.964,-74.797,71.0,"$122,052.91"
house,Bogotá D.C,4.689,-74.045,65.0,"$141,814.27"
house,Valle del Cauca,3.451,-76.54,434.0,"$167,138.25"
house,Cundinamarca,4.85,-74.079,189.0,"$151,943.86"
house,Bogotá D.C,4.636,-74.071,87.0,"$160,283.89"
house,Cundinamarca,4.322,-74.768,400.0,"$405,183.64"
house,Bogotá D.C,4.678,-74.043,110.0,"$236,357.12"
house,Cundinamarca,4.858,-74.05,116.0,"$104,672.44"
house,Valle del Cauca,3.461,-76.515,231.0,"$128,308.15"
house,Bogotá D.C,4.706,-74.041,170.0,"$303,887.73"
house,Bogotá D.C,4.687,-74.05,107.0,"$270,122.43"
house,Bogotá D.C,4.717,-74.03,176.0,"$287,005.08"
house,Bogotá D.C,4.752,-74.068,225.0,"$243,110.18"
house,Valle del Cauca,3.32,-76.497,400.0,"$219,474.47"
house,Bogotá D.C,4.702,-74.044,321.0,"$523,362.21"
house,Bogotá D.C,4.68,-74.044,154.0,"$540,244.86"
house,Cundinamarca,4.809,-74.103,341.0,"$111,425.50"
house,Antioquia,6.162,-75.57,360.0,"$334,276.51"
house,Valle del Cauca,3.466,-76.48,150.0,"$84,413.26"
house,Valle del Cauca,3.353,-76.545,400.0,"$137,762.44"
house,Atlántico,10.799,-74.921,245.0,"$264,719.98"
house,Cundinamarca,4.862,-74.051,180.0,"$145,190.80"
house,Bogotá D.C,4.696,-74.042,77.0,"$166,462.94"
house,Bogotá D.C,4.718,-74.05,221.0,"$354,535.69"
house,Bogotá D.C,4.706,-74.04,104.0,"$272,739.24"
house,Bogotá D.C,4.72,-74.065,164.0,"$165,449.99"
house,Bogotá D.C,4.621,-74.177,70.0,"$86,101.52"
house,Valle del Cauca,3.452,-76.532,148.0,"$209,344.88"
house,Bogotá D.C,4.756,-74.038,112.0,"$111,425.50"
house,Atlántico,10.959,-74.797,254.0,"$108,048.97"
house,Atlántico,10.987,-74.79,93.0,"$91,065.02"
house,Caldas,5.07,-75.514,131.0,"$129,996.42"
house,Bogotá D.C,4.695,-74.094,206.0,"$320,770.38"
house,Bolívar,10.544,-75.491,283.0,"$330,899.98"
house,Bogotá D.C,4.65,-74.051,164.0,"$371,418.34"
house,Bogotá D.C,4.718,-74.064,139.0,"$178,956.11"
apartment,Bogotá D.C,4.7109886,-74.072092,103.0,"$150,858.00"
house,Cundinamarca,5.012,-74.47,320.0,"$270,122.43"
house,Bogotá D.C,4.623,-74.14,204.0,"$114,802.03"
house,Bogotá D.C,4.677,-74.094,324.0,"$151,943.86"
house,Bogotá D.C,4.768,-74.029,69.0,"$67,530.60"
house,Bogotá D.C,4.706,-74.058,117.0,"$153,632.13"
house,Bogotá D.C,4.691,-74.042,320.0,"$405,183.64"
house,Atlántico,10.966,-74.816,220.0,"$406,664.25"
house,Atlántico,10.99,-74.825,108.0,"$101,295.91"
house,Bogotá D.C,4.693,-74.042,110.0,"$182,332.64"
house,Bogotá D.C,4.73,-74.05,87.0,"$124,931.62"
house,Bogotá D.C,4.628,-74.081,137.0,"$189,761.00"
house,Valle del Cauca,3.422,-76.546,200.0,"$229,604.06"
house,Atlántico,10.979,-74.8,226.0,"$111,425.50"
house,Bogotá D.C,4.668,-74.05,70.0,"$104,672.44"
house,Quindío,4.551,-75.657,147.0,"$118,178.56"
house,Bogotá D.C,4.697,-74.168,147.0,"$96,231.11"
house,Bogotá D.C,4.746,-74.033,92.0,"$128,308.15"
house,Atlántico,11.017,-74.932,85.0,"$73,616.80"
house,Bogotá D.C,4.684,-74.045,120.0,"$209,344.88"
house,Bogotá D.C,4.696,-74.036,80.0,"$124,931.62"
house,Atlántico,11.001,-74.951,100.0,"$118,178.56"
house,Bogotá D.C,4.7011064,-74.0697553,270.0,"$308,230.33"
house,Atlántico,10.993,-74.809,330.0,"$472,714.25"
house,Quindío,4.515,-75.733,200.0,"$185,709.17"
house,Bogotá D.C,4.759,-74.027,215.0,"$236,357.12"
house,Atlántico,10.991,-74.826,108.0,"$103,997.13"
house,Bogotá D.C,4.669,-74.106,64.0,"$87,789.79"
house,Valle del Cauca,3.469,-76.49,352.0,"$118,178.56"
house,Atlántico,10.944,-74.83,85.0,"$131,684.68"
house,Atlántico,11.009,-74.835,107.0,"$104,672.44"
apartment,Santander,7.1243356,-73.1107738,76.0,"$91,166.32"
house,Atlántico,11.013,-74.839,90.0,"$104,841.26"
house,Atlántico,11.016,-74.831,68.0,"$140,715.10"
apartment,Cundinamarca,,,65.0,"$87,789.79"
house,Bogotá D.C,4.659,-74.132,89.0,"$124,593.97"
house,Bogotá D.C,4.668,-74.066,212.0,"$148,567.33"
house,Valle del Cauca,3.46,-76.515,380.0,"$135,061.21"
house,Bogotá D.C,4.695,-74.054,136.0,"$253,239.78"
house,Bogotá D.C,4.693,-74.054,70.0,"$162,073.45"
house,Bogotá D.C,4.73,-74.066,70.0,"$83,062.64"
house,Bogotá D.C,4.716,-74.031,240.0,"$212,721.41"
house,Cundinamarca,4.634,-74.458,220.0,"$195,838.76"
house,Bogotá D.C,4.692,-74.062,88.0,"$167,138.25"
house,Risaralda,5.316,-75.993,336.0,"$287,005.08"
house,Cundinamarca,5.011,-74.47,420.0,"$253,239.78"
house,Atlántico,11.024,-74.861,102.0,"$111,425.50"
house,Bogotá D.C,4.677,-74.059,79.0,"$101,295.91"
house,Bogotá D.C,4.747,-74.049,64.0,"$74,283.66"
house,Cundinamarca,4.709,-73.973,182.0,"$303,887.73"
house,Cundinamarca,4.875,-74.07,108.0,"$129,996.42"
house,Atlántico,11.007,-74.805,260.0,"$162,073.45"
house,Atlántico,11.001,-74.951,85.0,"$74,477.81"
house,Cundinamarca,4.884,-74.031,290.0,"$506,479.56"
house,Bogotá D.C,4.686,-74.05,84.0,"$197,527.02"
house,Atlántico,10.992,-74.814,145.0,"$87,789.79"
house,Antioquia,6.443,-75.728,172.0,"$243,110.18"
house,Bogotá D.C,4.682,-74.051,89.0,"$209,007.23"
house,Bogotá D.C,4.711,-74.072,120.0,"$249,863.25"
house,Valle del Cauca,3.313,-76.538,180.0,"$263,369.37"
house,Bogotá D.C,4.698,-74.053,203.0,"$335,964.77"
house,Caldas,5.067,-75.518,182.0,"$87,789.79"
house,Antioquia,6.253,-75.603,274.0,"$168,151.21"
house,Bogotá D.C,4.71,-74.077,87.0,"$163,687.60"
house,Cundinamarca,4.866,-74.057,168.0,"$290,381.61"
house,Bolívar,10.414,-75.52,92.0,"$104,672.44"
house,Valle del Cauca,3.367,-76.53,78.0,"$69,755.74"
house,Atlántico,10.799,-74.921,212.0,"$228,928.76"
house,Bogotá D.C,4.727,-74.038,72.0,"$91,166.32"
house,Bolívar,10.417,-75.537,110.0,"$121,555.09"
house,Atlántico,11.013,-74.807,298.0,"$222,851.00"
house,Atlántico,10.996,-74.817,136.0,"$119,394.11"
house,Antioquia,6.218,-75.601,103.0,"$145,190.80"
house,Atlántico,10.991,-74.82,117.0,"$108,048.97"
house,Bogotá D.C,4.609,-74.094,300.0,"$270,122.43"
house,Bogotá D.C,4.688,-74.07,192.0,"$232,980.59"
house,Bogotá D.C,4.752,-74.063,84.0,"$91,166.32"
house,Bogotá D.C,4.693,-74.042,160.0,"$278,563.75"
house,Bogotá D.C,4.725,-74.04,80.0,"$134,385.91"
apartment,Bogotá D.C,4.719939,-74.042479,70.0,"$102,984.17"
house,Bolívar,10.444,-75.523,70.0,"$81,036.72"
house,Bogotá D.C,4.729,-74.038,135.0,"$145,190.80"
house,Bogotá D.C,4.706,-74.059,106.0,"$141,814.27"
house,Magdalena,11.267,-74.189,115.0,"$118,178.56"
house,Bogotá D.C,4.724,-74.024,205.0,"$405,183.64"
house,Bogotá D.C,4.767,-74.045,66.0,"$64,154.07"
house,Valle del Cauca,3.473,-76.507,154.0,"$131,684.68"
house,Valle del Cauca,3.469,-76.533,420.0,"$135,061.21"
house,Bogotá D.C,4.705,-74.076,110.0,"$123,243.36"
apartment,Antioquia,6.229124,-75.533652,65.0,"$66,855.30"
house,Bogotá D.C,4.719,-74.075,201.0,"$364,665.28"
house,Bogotá D.C,4.756,-74.07,138.0,"$195,838.76"
house,Bogotá D.C,4.696,-74.079,141.0,"$232,980.59"
apartment,Santander,8.78833,-76.03556,277.0,"$506,479.56"
house,Bogotá D.C,4.705,-74.033,95.0,"$178,956.11"
apartment,Cundinamarca,,,138.0,"$233,144.18"
house,Bogotá D.C,4.74,-74.07,116.0,"$175,579.58"
house,Bogotá D.C,4.727,-74.033,108.0,"$151,943.86"
house,Bogotá D.C,4.69,-74.047,87.0,"$202,591.82"
house,Bogotá D.C,4.696,-74.063,180.0,"$270,122.43"
house,Atlántico,11.018,-74.82,130.0,"$114,802.03"
