operation,property_type,place_with_parent_names,lat-lon,price,currency,price_aprox_local_currency,price_aprox_usd,surface_total_in_m2,surface_covered_in_m2,price_usd_per_m2,price_per_m2,floor,rooms,expenses,properati_url
sell,apartment,|México|Distrito Federal|Cuauhtémoc|,"19.436561,-99.15195",1060000.0,MXN,1050410.9,55847.67,,70.0,,15142.857142857143,,,,http://cuauhtemoc.properati.com.mx/oyvl_venta_departamento_cuauhtemoc_baranda_13_adami-delgadillo
sell,apartment,|México|Distrito Federal|Iztacalco|,"19.419007,-99.063304",839000.0,MXN,831409.99,44203.95,,52.0,,16134.615384615385,,,,http://iztacalco.properati.com.mx/oyvz_venta_departamento_iztacalco_maria-de-la-luz_25_minerva-tzompa-montiel
sell,house,|México|Distrito Federal|Gustavo A. Madero|Santa Isabel Tola|,"19.495753,-99.113847",3450000.0,MXN,3418790.19,181768.36,,293.0,,11774.744027303754,,,,http://santa-isabel-tola.properati.com.mx/oyxn_venta_casa_santa-isabel-tola_moctezuma_99_hernan-gomez
sell,apartment,|México|Distrito Federal|Cuauhtémoc|,"19.405298,-99.164986",3200000.0,MXN,3171051.78,168596.74,,90.0,,35555.555555555555,,,,http://cuauhtemoc.properati.com.mx/oyy7_venta_departamento_cuauhtemoc_huatabmpo-esq-ures_0_manuel-perez_dze
sell,apartment,|México|Distrito Federal|Miguel Hidalgo|,"19.4449824,-99.2029029",5150000.0,MXN,5103411.68,271335.39,79.0,79.0,3434.625189873418,65189.87341772152,,,,http://miguel-hidalgo-df.properati.com.mx/oyyq_venta_departamento_miguel-hidalgo_quality-bicofi
sell,apartment,|México|Distrito Federal|Miguel Hidalgo|,"19.4269193206,-99.1954386234",2000000.0,USD,37617000.0,2000000.0,0.0,324.0,,6172.83950617284,,,,http://miguel-hidalgo-df.properati.com.mx/oz07_venta_departamento_miguel-hidalgo_ricoy-bienes-raices-s-de-r-l-de-c-v
sell,house,|México|Distrito Federal|Cuajimalpa de Morelos|,"19.390415,-99.254997",14500000.0,MXN,14368828.99,763954.01,540.0,550.0,1414.7296481481485,26363.636363636364,,,,http://cuajimalpa-de-morelos.properati.com.mx/oz0r_venta_casa_cuajimalpa-de-morelos_mx-bienes-raices
sell,apartment,|México|Distrito Federal|Álvaro Obregón|Lomas de Tarango|,"19.3637227,-99.2116083",1200000.0,MXN,1189144.46,63223.78,,,,,,2.0,,http://lomas-de-tarango.properati.com.mx/oz1v_venta_departamento_lomas-de-tarango_alfa-inmobiliaria-casareal
sell,house,|México|Distrito Federal|Tlalpan|Fuentes del Pedregal|,"19.3071007,-99.2221957",6551210.0,MXN,6491945.8,345160.21,,,,,,2.0,,http://fuentes-del-pedregal.properati.com.mx/oz24_venta_casa_fuentes-del-pedregal_alfa-inmobiliaria-elite
sell,house,|México|Distrito Federal|Tlalpan|Fuentes del Pedregal|,"19.3071007,-99.2221957",7184430.0,MXN,7119437.61,378522.35,,,,,,3.0,,http://fuentes-del-pedregal.properati.com.mx/oz27_venta_casa_fuentes-del-pedregal_alfa-inmobiliaria-elite
